stock_code,corp_name,market,corp_code,modify_date
063080,컴투스홀딩스,KOSDAQ,00535746,20230616
063160,종근당바이오,KOSPI,00390055,20230223
063170,서울옥션,KOSDAQ,00410915,20221201
063440,SM Life Design,KOSDAQ,00367604,20230223
063570,한국전자금융,KOSDAQ,00363769,20220217
063760,이엘피,KOSDAQ,00374020,20230222
064090,웨스트라이즈,KOSDAQ,00390408,20230724
064240,홈캐스트,KOSDAQ,00385336,20221130
064260,다날,KOSDAQ,00389970,20220118
064290,인텍플러스,KOSDAQ,00479787,20230130
064350,현대로템,KOSPI,00302926,20230104
064480,브리지텍,KOSDAQ,00359076,20221121
064520,테크엘,KOSDAQ,00370255,20230328
064550,바이오니아,KOSDAQ,00326731,20230918
064760,티씨케이,KOSDAQ,00245472,20221129
064800,젬백스링크,KOSDAQ,00392691,20230117
064820,케이프,KOSDAQ,00152437,20230502
064850,에프앤가이드,KOSDAQ,00331016,20231005
064960,SNT모티브,KOSPI,00398792,20221115
065060,지엔코,KOSDAQ,00258102,20221202
065130,탑엔지니어링,KOSDAQ,00366845,20221220
065150,DSEN,KOSDAQ,00390860,20230517
065170,비엘팜텍,KOSDAQ,00384717,20221213
065350,신성델타테크,KOSDAQ,00136226,20230222
065370,위세아이텍,KOSDAQ,00374738,20230712
065420,에스아이리소스,KOSDAQ,00120906,20230705
065440,이루온,KOSDAQ,00390514,20230223
065450,빅텍,KOSDAQ,00385363,20221128
065500,오리엔트정공,KOSDAQ,00300405,20221212
065510,휴비츠,KOSDAQ,00398668,20230125
065530,와이어블,KOSDAQ,00250137,20230216
065560,녹원씨엔아이,KOSDAQ,00393469,20230403
065570,삼영이엔씨,KOSDAQ,00288343,20221118
065650,메디프론,KOSDAQ,00391197,20230330
065660,안트로젠,KOSDAQ,00631837,20220317
065680,우주일렉트로,KOSDAQ,00390903,20230223
065690,파커스,KOSDAQ,00384762,20230130
065710,서호전기,KOSDAQ,00220622,20221205
065770,CS,KOSDAQ,00303703,20220708
065950,웰크론,KOSDAQ,00362159,20221011
066130,하츠,KOSDAQ,00221728,20221207
066310,큐에스아이,KOSDAQ,00411446,20220225
066360,체리부로,KOSDAQ,00216434,20221206
066410,버킷스튜디오,KOSDAQ,00378220,20230707
066430,와이오엠,KOSDAQ,00370200,20221110
066570,LG전자,KOSPI,00401731,20230110
066590,우수AMS,KOSDAQ,00301422,20221220
066620,국보디자인,KOSDAQ,00253985,20221206
066670,디스플레이텍,KOSDAQ,00371740,20230711
066700,테라젠이텍스,KOSDAQ,00249894,20230404
066790,씨씨에스,KOSDAQ,00249441,20221117
066900,디에이피,KOSDAQ,00303192,20230323
066910,손오공,KOSDAQ,00306870,20221208
066970,엘앤에프,KOSDAQ,00398701,20220321
066980,한성크린텍,KOSDAQ,00389998,20231025
067000,조이시티,KOSDAQ,00397252,20230106
067010,이씨에스,KOSDAQ,00400060,20230223
067080,대화제약,KOSDAQ,00210740,20221213
067160,아프리카TV,KOSDAQ,00399694,20220224
067170,오텍,KOSDAQ,00397289,20230216
067280,멀티캠퍼스,KOSDAQ,00425351,20230316
067290,JW신약,KOSDAQ,00110431,20230512
067310,하나마이크론,KOSDAQ,00445054,20221202
067370,선바이오,KOSDAQ,00407036,20230222
067390,아스트,KOSDAQ,00409681,20230223
067570,엔브이에이치코리아,KOSDAQ,00146436,20230503
067630,HLB생명과학,KOSDAQ,00365590,20230502
067730,로지시스,KOSDAQ,00238199,20230210
067770,세진티에스,KOSDAQ,00406727,20230222
067830,세이브존I&C,KOSPI,00422895,20230421
067900,와이엔텍,KOSDAQ,00190756,20221201
067920,이글루,KOSDAQ,00364847,20221129
067990,도이치모터스,KOSDAQ,00449379,20230223
068050,팬엔터테인먼트,KOSDAQ,00397191,20230214
068240,다원시스,KOSDAQ,00523307,20211206
068270,셀트리온,KOSPI,00413046,20221213
068290,삼성출판사,KOSPI,00423690,20221205
068330,일신바이오,KOSDAQ,00385415,20221121
068400,SK렌터카,KOSPI,00201450,20230106
068760,셀트리온제약,KOSDAQ,00541349,20221129
068790,DMS,KOSDAQ,00361594,20230331
068930,디지털대성,KOSDAQ,00398808,20230223
